จังหวัด,รายชื่อวัด
,วัดกู่คำ
,วัดบุญเกิด
,วัดม่อนสัณฐาน
,วัดท่าหลวง
,วัดผาแดงหลวง
,วัดศรีดอนแก้ว
,วัดสบเติ๋น
,วัดสบค่อม
,วัดนาน้อย
,วัดทุ่งเป้า
,วัดกู่สีขันฑ์
,วัดศิริบุญมาราม
,วัดท่าโทก
,วัดห้วยก้อด
,วัดดอกบัว
,วัดสันนารินทร์
,วัดอัมพวนาราม
,วัดนาต๋ม
,วัดพระแก้วดอนเต้าสุชาดาราม
,วัดดอยน้อย
,วัดจอมเมือง
,วัดขอใต้
,วัดทุ่งข่วง
,วัดนางแล
,วัดป่ากล้วย
,วัดแม่โป่ง
,วัดทุ่งไผ่
,วัดเข้าซ้อน
,วัดแม่เฮียว
,วัดต้นค่า
,วัดกุ่มเนิ้ง
,วัดแม่สงใต้
,วัดศรีปรีดา
,วัดบ้านไร่
,วัดบ้านเอียก
,วัดศรีมุงเมือง
,วัดน้ำดิบ
,วัดห้วยริน
,วัดทุ่งสะแกงดอนชัย
,วัดแม่ตานอก
,วัดบ้านหัวทุ่ง
,วัดบ้านโป่ง
,วัดสบไพร
,วัดวังพร้าว
,วัดหลวงเมืองปาน
,วัดสันบุญเรือง
,วัดแม่ฮวก
,วัดดอยป่าตาล
,วัดประตูต้นผึ้ง
,วัดบ้านล้อง
,วัดจอมปิงลุ่ม
,วัดศรีดอนชัย
,วัดสันโป่ง
,วัดผาแดง
,วัดปงมะโอ
,วัดทุ่งฝูง
,วัดมิ่งเมืองมูล
,วัดแม่มอกหัวน้ำ
,วัดเข้าหมู่
,วัดศาลาเม็ง
,วัดนาเวียง
,วัดแม่กองบิน
,วัดดอนแก้ว
,วัดปงแพ่ง
,วัดอารัญญิการาม
,วัดแม่ยามใต้
,วัดม่อนกระทิง
,วัดทุ่งม่านใต้
,วัดแม่กวัก
,วัดแม่กืย
,วัดข่วงเปา
,วัดเมืองตึงใต้
,วัดพระแท่น
,วัดจองคำ
,วัดปางปง
,วัดห้วยฮี
,วัดบ้านร้อง
,วัดนางอย
,วัดน้ำล้อม
,วัดม่อนเจริญธรรม
,วัดห้วยไร่
,วัดบรรพตสถิต
,วัดวังสำราญ
,วัดสมัยใต้
,วัดสบเติน 
,วัดทุ่งกล้วยโพธาราม
,วัดต้นผึ้ง
,วัดบ้านหลุก
,วัดดอนไชย
,วัดนางแตน
,วัดดอกคำใต้
,วัดบ้านค่าหลวง
,วัดบ้านดง
,วัดไผ่เหนือ
,วัดสบเมาะ
,วัดแม่เตี้ยะ
,วัดแม่สุก
,วัดพรหมพิราม
