จังหวัด,รายชื่อวัด
,วัดกลางสว่าง
,วัดจอมมณี
,วัดศรีชมชื่น
,วัดแท่น
,วัดป่าอภัยวัน
,วัดวังมน
,วัดทามเรืองศรี
,วัดโพธิ์กลาง
,วัดเถาวัลย์
,วัดกู่ประภาชัย
,วัดสวรรค์คงคา
,วัดชลธาร
,วัดมิ่งเมืองพลาราม
,วัดสุทธาวาส
,วัดมหรรณพาราม
,วัดสังข์ทอง
,วัดนาโหล่ง
,วัดสามัคคีวุฒิธรรม
,วัดม่วงศรี
,วัดโพธิ์หอม
,วัดดอนน้ำผึ้ง
,วัดมิ่งเมืองพัฒนาราม
,วัดทองหลาง
,วัดยางใย
,วัดสว่างทุ่งน้อย
,วัดธรรมเจดีย์
,วัดโนนม่วง
,วัดสำราญ
,วัดวุฒาราม
,วัดสว่างเวหา
,วัดกุเวียน
,วัดบำรุงวิริยะ
,วัดเวียงแก้ว
,วัดชลขันธ์
,วัดป่าสามัคคีทรงธรรม
,วัดศิริรัตนาวาส
,วัดศรีสวัสดิ์
,วัดกลาง
,วัดนันทาราม
,วัดบ้านท่อน 
,วัดอุตตมวารี
,วัดโพธิ์เย็น
,วัดสว่างวนาราม
,วัดป่ามหาวนาราม
,วัดใหม่ไตรมิตรวราราม
,วัดบึงบาล
,วัดกาญจนาราม
,วัดบูรพาราม
,วัดธาตุกู่ทอง
,วัดโนนทัน
,วัดแท่นศิลาอาสน์
,วัดประสิทธิ์ไพศาล
,วัดเลียบ
,วัดทรายบึงสำราญ
,วัดคำบง
,วัดคามวดี
,วัดท่าสองคร
,วัดอัมพวัน
,วัดหนองห้าง
,วัดกิโลเมตรสิบหก
,วัดสว่างอินทร์แปลง 
,วัดเหนือสำโรง
,วัดดอนศิลา
,วัดโพธิ์ทอง 
,วัดพุทธาวาส
,วัดสถาพร
,วัดอุทัย
,วัดพระบาทภูพานคำ
,วัดจุมพร
,วัดสว่างพิทยา
,วัดพวงมาลัย
,วัดถิรธรรม
,วัดศรีพนาวาส
,วัดฤๅษี
,วัดระฆัง
,วัดสระแก้ว
,วัดท่าพระหงษ์เทศประดิษฐ์
,วัดสุวรรณาราม
,วัดอาภาราม
,วัดศรีสุข
,วัดสุภนิมิตร
,วัดเทพสุวรรณ
,วัดหนองแวงน้อย
,วัดป่าหนองหญ้าข้าวนก
,วัดสามัคคีธรรม
,วัดศิลาธรรมิการาม
,วัดศรีจันทร์
,วัดมณฑป
,วัดสรรค์วนาราม
,วัดจูมพล
,วัดป่าอรัญญวิโมกข์
,วัดป่าสามัคคีธรรมาราม
,วัดศรีสง่า
,วัดบริบูรณ์
,วัดเสมอภาพ
,วัดชัยสิทธิ์
,วัดสวรรค์นาตาด
,วัดสว่างธรรม
,วัดดุสิตาราม
,วัดวิชัยยาราม
,วัดสว่างโนนรัง
,วัดสระโนน
,วัดป่าชัยวัน
,วัดคุ้มจัดสรรค์
,วัดอินทนิมิต
,วัดสะอาดโนนคูณ
,วัดแจ้งสว่างนอก
,วัดจิตวิเวก
,วัดป่าขันติธรรมวนาราม
,วัดศรีประทุมวนาราม
,วัดสว่างคำอ้อ
,วัดมหาวัน
,วัดท่าชลาวาส
,วัดศรีสว่าง
,วัดทุ่งโป่ง
,วัดศรีเมืองพล
,วัดศรีฐาน
,วัดนายมวนาราม
,วัดศรีทอง
,วัดสระทอง
,วัดสว่างจันทร์
,วัดสุตาราม
,วัดยอดแก้ว
,วัดราษฎร์สังขรณ์
,วัดสุวรรณรังษี
,วัดสนวนวารีพัฒนาราม
,วัดศรีสุมังค์วนาราม
,วัดศรีโพธิ์ทอง
,วัดดงกลาง
,วัดสวรรค์
,วัดวิเวกธรรม
,วัดแจ้งอรุณศิลป์
,วัดบุญบาลประดิษฐ 
,วัดโพธิ์ศรีธาราม
,วัดถาวรนิมิตร
,วัดโพธิ์สมพร
,วัดอรัญญิกาวาส
,วัดป่าชัยวารินทร์
,วัดมหาชัย
,วัดนาดี
,วัดสว่างทุ่งมน
,วัดตาลเรียง
,วัดจันทมงคล
,วัดทรงธรรม
,วัดน้ำค้าง
,วัดมงคลธานี
,วัดสว่างสุทธาราม
,วัดโพธิ์ศรีวราราม
,วัดกู่ประชาสามัคคีบ้านอ้อ
,วัดศรีดอนกลาง
,วัดสามัคคีชัย
,วัดหนองแวงโอง
,วัดอรัญญี
,วัดศรีมหาโพธิ์
,วัดแสงอุดมสิทธิราษฎร์
,วัดสว่างหนองบัว
,วัดอุดมราษฏร์ประดิษฐ์
,วัดทรายทอง
,วัดหนองแดง
,วัดบ้านห้วยอีเปาะ
,วัดปากช่อง
,วัดบ้านโสกม่วง
,วัดป่าบึงถุงเทียว
,วัดเกษตรสุวรรณ
,วัดจอมแจ้ง
,วัดเรไร
,วัดบึงสว่าง
,วัดพรหมวาสี
,วัดวีรนาวาส
,วัดสาลวัน
,วัดพิทักษ์ธรรมาราม
,วัดหงษ์สาวดี
,วัดสงเปลือย 
,วัดเฉลียงทอง
,วัดทุ่งสว่าง
,วัดสระโอภาวาส
,วัดโกศลภาราม
,วัดบูรพาภิรมยาราม
,วัดทรงศีล
,วัดป่าสันติสุข
,วัดอดุลแก้วมอดี
,วัดนาง้อง
,วัดป่ารัตนาราม
,วัดจันทร์
,วัดบ่อแก้ว
,วัดคำใหญ่
,วัดโพธิธรรม
,วัดบารมีชัย
,วัดโนนพลทอง
,วัดบัวบานจันทรังษี
,วัดดอนจันทร์
,วัดใหม่สามัคคี
,วัดปทุมเทพาราม
,วัดชัยประดิษฐ 
,วัดคีรีวัน
,วัดป่าเก่าค้อ
,วัดปทุมแพงศรี
,วัดโพธิ์บัลลังก์
,วัดหงษ์ทอง
,วัดสว่างอารมณ์
,วัดสระบัว
,วัดโนนสว่าง
,วัดโนนศิลา
,วัดสุทธิวาส
,วัดสระกัญญาราช
,วัดบุญเรือง
,วัดสันติธรรม
,วัดตลาดคลอง
,วัดอโสการาม
,วัดสระชัย
,วัดโพธิ์สาริการาม
,วัดราชบุรี
,วัดสระบัวรอง
,วัดศรีชมภู
,วัดสมณมงคล
,วัดศรีสุมังค์
,วัดโคกหย่อน
,วัดป่าโนนลาน
,วัดโพนทองดอนไข
,วัดสัมพันธวาราม
,วัดโนนสระบัว
,วัดศรีตาล
,วัดสระแคน
,วัดธรรมมงคล 
,วัดโนนบุรุษ
,วัดสระบัวทอง
,วัดพุทธบาตรรัตนคีรี
,วัดสว่างดารา
,วัดศิริธรรมมงคล
,วัดชมพูพฤกษ์
,วัดศรีธาตุ
,วัดสุทธาราม
,วัดศรีชุมแสง
,วัดสว่างศิริเย็น
,วัดสว่างโนนคูณ
,วัดเกาะทอง
,วัดรัตนมงคล
,วัดป่าอรัญญาวาสี
,วัดป่าหนองศาลา
,วัดสะอาดบุญญาราม
,วัดโพนสูง
,วัดสายทอง
,วัดแสงธรรม
,วัดสว่างศรีวิลัย
,วัดสุนทราวาส
,วัดบูรณะสิทธิ์
,วัดจันทรบุรี
,วัดหนองแต้
,วัดจันทราคม
,วัดสมศรี
,วัดบัวสีมา
,วัดชัยมงคล
,วัดใหม่สามัคคีธรรม
,วัดเขาสามยอด
,วัดป่าหนองแซง
,วัดม่วง
,วัดสะอาดชมภู
,วัดสว่างโนนเพียง
,วัดเสลบูรณ์
,วัดป่าเลไลย์
,วัดพลับพลาชัย
,วัดมาลัยจันทร์
,วัดอุดรมีชัย)
,วัดศิริมงคล
,วัดป่าหนองหลุบ
,วัดป่าดอนเจ้าปู่ตา
,วัดป่าสิริสมบัติ
,วัดศิลาดาษ
,วัดเทพาราม
,วัดชัยแสงอรุณทอง
,วัดศิริพนปุญญาวาส
,วัดสวาท
,วัดสามัคคี
,วัดบ้านค้อ
,วัดจันทรัตนาราม
,วัดศรีตาลเรือง
,วัดรามศิริวาส
,วัดบำรุงธรรม
,วัดอุตสาหะ
,วัดโพธิ์สว่าง
,วัดโนนสัมพันธ์
,วัดศรีสิทธิ์
,วัดบูรณ์
,วัดเทพปูรณาราม
,วัดอรัญญวาส
,วัดชุมพล
,วัดป่าโนนสวรรค์
,วัดสุทธิธรรมวนาราม
,วัดไชยศรี
,วัดมะพร้าวกิ่งโพธิ์ศรี
,วัดพรหมวิหารธรรม
,วัดสว่าง
,วัดโนนคำมี
,วัดประดู่ทอง
,วัดป่าพุทธชัยมงคล
,วัดนวการาม
,วัดรัตนนิมิตร
,วัดป่ามะนาวศรี
,วัดอัมพวนาราม
,วัดซำภูทอง
,วัดหินกองน้อย
,วัดป่าอรัญญวิเวก
,วัดโพธิ์ 
,วัดอมรบูรญาราม
,วัดพระบาทโพธาราม
,วัดตลาดหนองเรือ
,วัดโพธิการาม
,วัดสว่างศรีชมภู
,วัดตะคลอง
,วัดครองบุรี
,วัดชุมพลบุรี
,วัดภูมิหลักฐาน
,วัดทรงศร
,วัดนิรันดร
,วัดหนองโน
,วัดบูรพา
,วัดศรีโพธิ์ชัย
,วัดชมภู
,วัดประทุมคงคา
,วัดศรีสุธรรม
,วัดกองศรี
,วัดพงษาวาส
,วัดพุทธรังษี
,วัดมิ่งมงคล
,วัดมิ่งโพธิ์วนาราม
,วัดอรัญญาวาส
,วัดแจ้งศิริ
,วัดยางคำทุ่งบ่อ
,วัดสว่างธรรมวราราม 
,วัดมัคคาลัย
,วัดชุมพร
,วัดหินตั้ง
,วัดสว่างศรีวิชัย
,วัดเสนชัยดาประสิทธิ์
,วัดโนนศรีเรือง
,วัดสว่างวังบง
,วัดตราชูวนาราม
,วัดเจดีย์
,วัดบ้านบ่อ
,วัดประชานิคมพัฒนาราม
,วัดแสงธรรมรังษี
,วัดสว่างยางคำ
,วัดสามัคคยาราม
,วัดสระโพนทอง
,วัดศรีชล
