จังหวัด,รายชื่อวัด
,วัดโพนสว่างอุดมพร
,วัดป่าแก้วชุมพล
,วัดป่าสุขุมวารี
,วัดเหล่านาสีนวล
,วัดนิวาสถาน
,วัดเขื่อนสามัคคี
,วัดศรีดาหนองครอง
,วัดป่าบ้านตาด
,วัดอัมพวัน 
,วัดป่าไพรระหงษ์
,วัดพระธาตุเชิงชุมวรวิหาร
,วัดสว่างรัตนาราม
,วัดสระแก้ว
,วัดสุวรรณาราม
,วัดศรีสุข
,วัดถํ้าขาม
,วัดบ้านหนองไผ่ล้อม
,วัดบ้านดอนยาง
,วัดป่าเยระมะณี
,วัดสามัคคีธรรม
,วัดศรีสมพงษ์
,วัดศรีจันทร์
,วัดป่าโนนขุมเงิน
,วัดดอนสร้างไพร
,วัดสุวรรณวาลี
,วัดสิทธิบังคม
,วัดป่าอรัญญิการาม
,วัดป่าศรีสมพร
,วัดบริบูรณ์
,วัดสิมมาสว่างธรรม
,วัดมงคลไชยาราม
,วัดครองธรรมิการาม
,วัดบัวก่าย
,วัดสายแก้ว
,วัดป่าวิสุทธิมรรค
,วัดหนองแข้
,วัดสระแก้วพัฒนาราม
,วัดบ้านนายอ 
,วัดโพธิ์ศรีจันทร์
,วัดศรีจอมธาตุ
,วัดประชาพินิจ
,วัดกลางภู
,วัดป่าโนนตูม
,วัดมหาสมณกิจภาวนา
,วัดป่าสุทธาราม
,วัดศรีคูณไชย
,วัดป่าโคกสว่าง
,วัดกุดไห
,วัดศรีโพนสูง
,วัดบ้านเหล่าสามัคคี
,วัดโนนจิก
,วัดศรีสว่าง
,วัดโคกสามัคคี
,วัดทุ่ง
,วัดป่าแสงสว่าง
,วัดศรีทอง
,วัดวังบงสามัคคี
,วัดบึงน้อย
,วัดศรีโพนเมือง
,วัดภูดานฮัง
,วัดศรีบุญธรรม
,วัดด่านม่วงคำ
,วัดสว่างแจ้ง
,วัดอรัญญวาสี
,วัดยอดแก้ว
,วัดป่าภูดินแดง
,วัดศรีสุขสำราญ
,วัดธาตุโพนค้อ 
,วัดป่าประทีปบุญญาราม
,วัดยางประชาสามัคคี
,วัดบ้านนาห้วยนาค
,วัดดอยด่านรัง
,วัดน้อยหัวคู
,วัดบ้านแดงสีชมภู
,วัดอรัญญิกาวาส
,วัดมหาชัย
,วัดศรีสังวรณ์
,วัดธาตุศรีทอง
,วัดโอภาสธรรมรมนิมิตร
,วัดฐิติธรรมาราม
,วัดดอนม่วย 
,วัดป่านายอ
,วัดสุวรรณธาดาราม
,วัดป่านิโรธมรรคาลัย
,วัดนาม่อง
,วัดประดิษฐ์ฐาราม
,วัดดงสวรรค 
,วัดโนนแจ้ง
,วัดโนนสมบูรณ์
,วัดสระแจ้ง
,วัดศรีกบิลพรหม
,วัดโพธิ์ศรีวราราม
,วัดป่าหนองสามขา
,วัดเทวกุญชร
,วัดคันธารมณ์
,วัดโพธิญาณ
,วัดอรัญญา
,วัดภูริทัตตถิราวาส
,วัดยางงาม
,วัดนารถพรหมวาสี
,วัดท่าศิลา
,วัดหนองแดง
,วัดจอมแจ้ง
,วัดหนองปลาตอง
,วัดบึงสะพานดำ
,วัดป่าห้วยหีบ
,วัดอุดมธรรมวนาราม
,วัดพรมวาศรี
,วัดตาลนิมิตร
,วัดมงคลธรรมวาส
,วัดทุมทอง
,วัดทุ่งสว่าง
,วัดดงเชียงเครือ
,วัดศรีวิทยาลัย
,วัดโพธิ์ชัยเจริญ
,วัดประสิทธิ์สังวร
,วัดโพนก่อศรีชมภู
,วัดเขื่อนบุบผาราม
,วัดท่าวารีวนาราม
,วัดจันทร์
,วัดยางอาจ
,วัดสุปัฏชัยยาราม
,วัดป่าถิราวาส
,วัดศรีดอกแก้ว
,วัดมนตรีคณารักษ์
,วัดป่านาดูน
,วัดป่าโพธิทาราม
,วัดโคกก่อง
,วัดเสียวสวาท
,วัดสว่างอารมณ์
,วัดโนนสว่าง
,วัดสันติธรรม
,วัดเหนือศรีสะอาด
,วัดถํ้าเจ้าผู้ข้า
,วัดไชยศิริมงคล
,วัดหนองตอกแป้น
,วัดสว่างปิยาอารมณ์
,วัดศรีชมภู
,วัดป่าแพง
,วัดศรีสุมังค์
,วัดถ้ำพระพุทธไสยาสน์
,วัดป่าเหล่าใหญ่
,วัดศรีจำปาชนบท
,วัดศรีทัศน์
,วัดศิริดำรงวนาราม
,วัดบางธรรมนิมิตร
,วัดค้อใหญ่
,วัดศิริราษฏร์วัฒนา
,วัดคำบอน
,วัดป่าบึงหวาย
,วัดป่าหัวนา
,วัดชัยชนะวราราม
,วัดประดู่ธรรมาวาส
,วัดป่าบ้านทุ่ง
,วัดศรีดอกกาว
,วัดดอนกรรม
,วัดศิริสมบูรณ์ 
,วัดมัชฌิมภูมิ
,วัดรัตนมงคล
,วัดหนองสะไน
,วัดท่าเยี่ยม
,วัดสามัคคีบำเพ็ญ
,วัดสะอาดสามัคคีธรรม
,วัดโคกสะอาด 
,วัดหนองโจด 
,วัดโพนสูง
,วัดเสบุญเรือง
,วัดศรีโพธิ์คำ
