จังหวัด,รายชื่อวัด
,วัดวังน้ำขาว
,วัดดอนเรือ
,วัดท่างาม
,วัดยางสินไชย
,วัดสุกาวาส 
,วัดราษฎร์นิคม
,วัดเหล่าส้มลม
,วัดศรีสวาสดิ์
,วัดหนองผือ
,วัดเหล่าหนาด
,วัดโนนเขวา
,วัดยางอิไล
,วัดท่าตูม
,วัดเกิ้งเหนือ
,วัดเหนือแวงน่าง
,วัดโนนเกษตร
,วัดภูดิน
,วัดวิไลธรรมาราม
,วัดโพธิ์กลาง
,วัดโสกแดง
,วัดเจริญผล
,วัดสุทธาวาส
,วัดเทพรังสรรค์
,วัดวุฒิวราราม
,วัดสถานสงเคราะห์คนชรา
,วัดซำแฮด
,วัดท่าชัยศรี
,วัดป่าดอนเปลือย
,วัดหนองแก
,วัดทุ่งสว่าง 
,วัดบ้านเลิงใต้
,วัดป่าศุภมิตรสิทธาราม
,วัดหนองโดน
,วัดทองหลาง
,วัดปัพพานิสสัย
,วัดโพนพิพัฒน์
,วัดหลุบแซง
,วัดสวนกล้วย
,วัดม่วง 
,วัดอัมพวนาราม 
,วัดป่ากุงหนา
,วัดหนองแคน 
,วัดน้ำจ้อย
,วัดหัวนาทัย
,วัดสองห้อง
,วัดศรีสวัสดิ์
,วัดกลาง
,วัดหนองเม็ก
,วัดบูระพา
,วัดขามเรียน
,วัดบ้านงิ้ว
,วัดบุรารัฐโพธาราม 
,วัดโนนทัน
,วัดบูรพาราม
,วัดทรายคำ
,วัดหัวนาคำ
,วัดไชยสถานธรรม
,วัดชมพูวนาราม
,วัดศาลา
,วัดสว่างวิจารณ์
,วัดโนนเดื่อ
,วัดอัมพวัน
,วัดสระบาก 
,วัดโพธิ์ทอง 
,วัดบ้านเขวา
,วัดโคกใหญ่
,วัดดาวประดิษฐ์
,วัดตลาดม่วง 
,วัดนาคูน
,วัดป่าวังเลิง
,วัดหนองหิน
,วัดมะแซว 
,วัดกุดรังสุทธาราม
,วัดเวฬุวาศรี
,วัดอัมพวัน 
,วัดสระแก้ว
,วัดสุวรรณาราม
,วัดบ้านอีเม็ง
,วัดศรีสุข
,วัดกุดเวียน 
,วัดสว่างสร้างแก้ว
,วัดสามัคคีธรรม
,วัดบูรพาเกิ้งใต้
,วัดธรรมนิมิต
,วัดศรีสง่า
,วัดหนองห้าง 
,วัดชัยภาษิต
,วัดหนองคูไชย
,วัดราษฎร์เจริญ
,วัดอัมพวันบ้านห้วยแคน
,วัดใต้ 
,วัดหนองกุงน้อย
