จังหวัด,รายชื่อวัด
,วัดป่าเขาลอย
,วัดป่านาโพธิ์ 
,วัดป่าบ้านหนองสระ 
,วัดสมณาวาส
,วัดศรีสุนทร
,วัดทุ่งโพธิ์
,วัดปานใจนาม
,วัดสหมิตรรังสรรค์
,วัดเทพประดิษฐ์
,วัดป่ามาบสมอ
,วัดป่าศิลาทอง
,วัดป่าธุดงค์บ้านหนองบัว 
,วัดสว่างบูรพา
,วัดป่าพุทธรรม 
,วัดประชาบูรณะ
,วัดสง่าท่าชลนที
,วัดป่าส้มป่อย 
,วัดหนองตาดำ
,วัดอิสาณทะเมนชัย
,วัดสระจันทร์
,วัดบ้านประทัดบุ
,วัดป่าคูเมือง 
,วัดป่าสามัคีธรรม 
,วัดบ้านโนนเจริญ
,วัดบุญช่วย
,วัดโพนทอง
,วัดซับสมบูรณ์ 
,วัดบ้านรุณ
,วัดป่าหนองขาหย่าง
,วัดชัยมงคลวนาราม
,วัดป่าหนองอ้อยช้าง 
,วัดทรงศิริ
,วัดป่าเสือชะเง้อ
,วัดตาไก้พลวง
,วัดป่าอุดมธรรม
,วัดก้านเหลืองเก่า
,วัดป่ากองพระทราย 
,วัดตาหล่ำ
,วัดวงษ์วารี
,วัดสุรินทรารมณ์
,วัดราษฏร์ประดิษฐ์
,วัดสิมสมนาม
,วัดโนนดินแดงเหนือ 
,วัดอุดมมงคลชัย
,วัดหนองเก้าข่า
,วัดคลองสว่างนาแซง
,วัดบ้านแสลงพัน
,วัดตะลุมพุก
,วัดนายาว
,วัดป่าพระธาตุมงคลวนาราม 
,วัดหนองเกาะแก้ว
,วัดโคกชุม
,วัดบ้านกระเบื้อง
,วัดนาจาน
,วัดป่าบ้านไพบูลย์
,วัดบรมคงคา
,วัดป่าดอนลอย 
,วัดสะพานดำ
,วัดประทุมเมศ
,วัดใหม่ศรีสุขนาจะหลวย
,วัดสระแร่
,วัดดงยายเภา
,วัดสำโรงพัฒนา
,วัดหนองตาบุญ
,วัดป่าบำรุงธรรม 
,วัดป่าบ้านปันเราะ 
,วัดเทพรังสรรค์
,วัดทรงศิรินาวาส
,วัดปรือเกียน
,วัดศิลาเรือง
,วัดป่าไม้สหกรณ์ 
,วัดป่าธรรมนิยม 
,วัดหนองขวาง
,วัดโคกเหล็ก
,วัดเจริญสุข
,วัดดอนมนต์
,วัดปาสามัคคีธรรม 
,วัดศรีสวัสดิ์
,วัดกลาง
,วัดโคกว่าน
,วัดบ้านด่าน
,วัดบ้านเมืองคู่
,วัดอโศกนิมิตตาราม
,วัดอุดมราษฏร์วราราม
,วัดป่าบูรพาราม 
,วัดบ้านงิ้ว
,วัดบัวตะเคียน
,วัดบ้านยางโลน
,วัดหนองตาเรียม
,วัดโคกศรี
,วัดบ้านปลัด
,วัดสระมณีรัชชวาล
,วัดชนะตาราม
,วัดปทุมคงคา 
,วัดตะโก
,วัดสุกาวาส
,วัดอัมพวัน
,วัดวารีมุขาราม
,วัดป่าโนนเจริญ
,วัดหนองไผ่น้อย
,วัดกระดึงทอง&
,วัดดอนนางงาม
,วัดป่ายางน้อง 
,วัดบวร
,วัดมะค่ากระสัง
,วัดโคกใหญ่
,วัดแสลงโทน
,วัดกระเดื่อง
,วัดเวฬุนคราราม
,วัดสุขสำราญ
,วัดบ้านปลาย 
,วัดโพธิ์ย้อย
,วัดอัมพวัน 
,วัดโคกรัก 
,วัดละเวี้ย
,วัดสระแก้ว
,วัดป่าบูรพา 
,วัดสุวรรณาราม
,วัดหนองเสม็ด
,วัดป่าโคกเครือ
,วัดป่าละหานทราย
,วัดโพธิ์สามัคคี
,วัดระกามังคลาราม
,วัดหนองตาด
,วัดตูมหวาน
,วัดทุ่งสาริกาใหญ่
,วัดศรีสง่า
,วัดป่าประชามิตร
,วัดสวนแตง 
,วัดแพงพวย
,วัดปังกู
,วัดป่าบ้านห้วยมะไฟ 
,วัดป่าหนองตาจ่ำ
,วัดโคกพงาด
,วัดหนองยายพิมพ์
,วัดโคกแก้วสองชั้น
,วัดคุรุราษฏร์บำรุง
,วัดชัยศิริมงคล
,วัดป่าเขากระเจียว 
,วัดหนองระนาม
,วัดนิคมเขต
,วัดป่าโคกเจริญธรรม 
,วัดฬุวรรณาราม
,วัดป่าบ้านน้อยหัวสะพาน 
,วัดกัลยาณมิตตาราม
,วัดป่าธรรมาวาส
,วัดศิริมงคลเสม็ด
,วัดระนามพลวง
,วัดสนามชัย
,วัดบ้านตาฮ้อ
,วัดกุมภียาน
