จังหวัด,รายชื่อวัด
,วัดสว่างโพธิ์ศรีอรุณ
,วัดโพธิ์ศรี
,วัดประสิทธิ์โพธิ์ชัย
,วัดวาปีปทุม
,วัดอุดมผลพิมูล
,วัดสวัสดิ์โสภาราม
,วัดดอนกู่
,วัดผลาผล
,วัดอรัญญิกาเสนานิคม
,วัดท่าม่วง
,วัดโนนฟองแก้ว
,วัดบูรพาด่านแต้
,วัดบ้านโจด
,วัดบ้านเมย
,วัดศรีวิริยสัมมาราม
,วัดคำป่าหว่าน
,วัดถ้ำไทรทอง
,วัดหนองยางใต้
,วัดศิริอัมพวันวังยาง
,วัดแสงสว่างโพธิ์ทอง
,วัดยางน้อยสามัคคี
,วัดสว่างโพธิ์ทอง
,วัดธงชัยศรีอำนวย
,วัดสุวรรณคีรีวงค์
,วัดไชยวาร
,วัดหนองโพน
,วัดโพธิ์ชัยศรีสว่าง 
,วัดโพธิ์ชัยบ้านค้อ
,วัดสุวรรณวารีหนองแวง
,วัดป่าโพธิ์กุศล
,วัดหนองสามขา
,วัดคลองรังสิตท่าแสง
,วัดศิริราชบำรุงสมสะอาดเหนือ
,วัดบ้านหนองเม็ก
,วัดศรีวิชัย
,วัดโนนอำนวย
,วัดกุดจิก
,วัดสว่างประทุม
,วัดโพนทอง
,วัดแดนนาบุญ
,วัดอุดมคงคาท่าเรือ
,วัดบรรพตสันติวัน
,วัดปฐมแพงศรี
,วัดสุธรรมาราม
,วัดหนองขาม
,วัดอุดมประชาราษฎร์
,วัดโพธิ์ชัยคำใหญ่
,วัดอนุหาฤทธาราม
,วัดหนองกุงกลาง
,วัดเหล่าแดง
,วัดวิเศษชัยศรีหลักเหลี่ยม
,วัดดอนทองวราราม
,วัดป่าบ้านผึ้ง
,วัดป่าอัมพวันบ้านหินลาด
,วัดสว่างโพธิ์ชัยบ้านชาด
,วัดเศวตวันวนาราม
,วัดป่ามุจลินท์
,วัดมุจรินทราราม
,วัดโนนสูงใต้
,วัดสว่างโพธิ์ศรีทอง
,วัดท่างาม
,วัดชมศิริ
,วัดอัมพวันหนองม่วง
,วัดโพธิ์ชัยศรีบุญเรือง
,วัดหนองผือ
,วัดบ้านจาน
,วัดเหนือคำมันปลา
,วัดไสยทอง 
,วัดสว่างอัมพวัน
,วัดอนุเขตตาราม
,วัดโพธิ์ศรีมหาไชย
,วัดวารีวัน
,วัดดอน 
,วัดสุทธาวาส
,วัดบ้านโนนเที่ยง
,วัดโคกคันจ้องบุญมี
,วัดโพธิ์ศรีวิลัย
,วัดศรีสะอาดห้วยมะทอ
,วัดพวงมณีวรรณ
,วัดสองห้อง
,วัดกลาง
,วัดอรุณรัตนสีสุก
,วัดม่วงนาดี
,วัดหนองฟ้าเลื่อน
,วัดบูรพารามหนองแสง
,วัดบรมผาสุข
,วัดหัวนาคำ
,วัดโคกศรี
,วัดป่าอริยทรัพย์
,วัดโสภาราม
,วัดบ้านโนนแพง
,วัดหนองห้าง
,วัดอัมพวัน
,วัดธรรมพิทักษ์
,วัดสว่างอุทัยดอนยูง
,วัดนากระเดา
,วัดโนนอุดม
,วัดนาเจริญ
,วัดนิมิตเมธาวาส
,วัดบ้านหนองบัวทอง
,วัดหนองหิน
,วัดสระบัวบ้านสา
,วัดกลางห้วยเม็ก
,วัดสว่างรัตนาราม
,วัดสุวรรณาราม
,วัดโพธิ์วราราม
,วัดโนนไฮวนาราม
,วัดสามัคคีธรรม
,วัดคำโพนทอง
,วัดโพธิ์ชัยสามขา
,วัดกุดลาย
,วัดหอไตรเหล่าใหญ่
,วัดสว่างโสภาเหล่าเขือง
,วัดมณีนพรัตน์
,วัดแพงศรีบ้านบ่อ
,วัดป่าเหล่ากลาง
,วัดโพธิ์ชัยดอนเรียบ
,วัดบูรพาสร้างมิ่ง
,วัดกัลยาณบริหาร
,วัดปฐมเกษาราม
,วัดอัมพวันม่วงน้อย
,วัดปทุมเกษรหนองบัว
,วัดโพธิ์ชัยคำม่วง
,วัดป่าศรีแก้ว
,วัดโพธิ์ชัยดงเหนือ
,วัดศรีสว่างไพบูลย์
,วัดอภิสิทธิ์หนองแวงม่วง
,วัดหนองแซง
,วัดสร้างแก้ว
,วัดสว่างอุทัย
,วัดบ้านเล้า
,วัดสว่างโนนทัน
,วัดราษฎร์บำรุงหนองกาว
,วัดบ้านเก่าน้อย
,วัดแพงศรีเมือง
,วัดโพธิ์ศรีหนองบัว
,วัดสระทอง
,วัดโพธิ์ชัยบ้านตูม
,วัดปฐมปฏิมากร
,วัดทิพพาวาสทุ่งมน
,วัดสว่างอรุณดงบัง
,วัดทุ่งสว่างโพธิ์ไทร
,วัดท่าสินเธาว์เหล่าไฮงาม
,วัดอัมพปาลิการาม
,วัดศรีนวลหัวงัว
,วัดโพธิ์ศรีสว่างหนองช้าง
,วัดชลประทานนิมิต
,วัดอร่ามมงคล
,วัดอรุณรังษีวราราม
,วัดดงกลาง
,วัดสว่างโนนชาติ
,วัดปิยะมงคล
,วัดชูเถาวัลย์
,วัดหนองริวหนัง
,วัดโนนแดงใต้
,วัดป่ามัชฌิมวาส
,วัดหนองแวงใต้
,วัดป่าหวังมนตรี
,วัดวิเศษไชยาราม
,วัดบึงบ้านเสียว
,วัดสวนป่าสมเด็จ
,วัดโคกไส
,วัดทรงธรรม
,วัดบ้านคำม่วง
,วัดสุวรรณหงษ์ทองหนองคู
,วัดบูรพาคำมะโฮ
,วัดสะอาดศิลป์หนองปะโอ
,วัดสี่แยกสมเด็จ
,วัดดอนเปลือย
,วัดพรหมวิหาร
,วัดแสงทองบูรณราม
,วัดท่าสามัคคี
,วัดโคกคันจ้อง
,วัดป่าหนองรัง
,วัดสว่างชัยศรีโนนชัย
,วัดบ้านหนองโง้ง
,วัดดงสมบูรณ์
,วัดหนองแวงศรีสวัสดิ์
,วัดสง่าอรุณ
,วัดโพธิ์ศรีท่าแห่
,วัดกลางกุดสิมตคุ้มเก่า
,วัดกลางอุดมวารี 
,วัดป่าพวงสุวรรณ
,วัดตลาดม่วง
,วัดดอนยางจันทาราม
,วัดสังข์ปทุมมาลา
,วัดบ้านโนนยาง
,วัดป่าวิเวกสามัคคีธรรม
,วัดใต้โพธิ์ค้ำ
,วัดเสริมชัยศรี
,วัดดอนยานาง
,วัดโพธิ์ศรีกระเดา
,วัดชัยวงษ์จันทร์
,วัดทัศนารามเตาไห
,วัดปทุมคงคา
,วัดป่าสว่างอารมณ์
,วัดคำแคน
,วัดโพธิ์ชัยเชียงงาม
