จังหวัด,รายชื่อวัด
,วัดดอนมณี
,วัดหนองอุดม
,วัดหนองกินเพลใต้
,วัดโนนแก้ง
,วัดผับแล้ง
,วัดอรุณวดี
,วัดบุปผาราม
,วัดโนนแสนสุข
,วัดโพนแพง
,วัดแก่งกบ
,วัดธัญญุตตมาราม
,วัดใต้พระเจ้าใหญ่องค์ตื้อ
,วัดศรีสง่าวนาราม
,วัดอฏวีวนาราม
,วัดนาเวียง
,วัดบ้านแพง
,วัดบ้านบอน
,วัดกุดผักตบ
,วัดโพธาราม
,วัดศรีจันทร์ธรรมาภาส
,วัดจานตะโนน
,วัดบ้านถ่อน
,วัดศรีลาวิลัย
,วัดโปร่งเจริญ
,วัดสิรินธรวรารามภูพร้าว
,วัดคำม่วง
,วัดป่าแก้วบัวสาย
,วัดคำไหล
,วัดเหล่าค้อ
,วัดขี้เหล็ก
,วัดดงขวาง
,วัดบ้านแก้ง
,วัดกระบูน
,วัดนาตาล
,วัดศรีเจริญ
,วัดป่าโนนจ่าหอม
,วัดถิ่นสำราญ
,วัดภูกระแต
,วัดน้ำคำแดงใต้
,วัดกุดชมภู
,วัดนาขมิ้น
,วัดทองนพคุณ
,วัดขามใหญ่
,วัดนาขาม
,วัดดอกคำใต้
,วัดไร่น้อย
,วัดสุขสมบูรณ์
,วัดดอนยูง
,วัดแก้งขี้เหล็ก
,วัดขามเทิง
,วัดไทยพัฒนา
,วัดกึ่งพุทธกาล
,วัดปัจฉิมมณีวัน
,วัดป่าน้ำคำ
,วัดป่าโพธิญาณ
,วัดคำไฮ
,วัดปฐมวัน
,วัดบ้านแค
,วัดเหล่าเจริญ
,วัดโคกกลาง
,วัดอ่างหินน้อย
,วัดสิทธิทนนชัย
,วัดดอนโมกข์
,วัดชักแล่น
,วัดราษฎร์อำนวย
,วัดขุมคำ
,วัดคำวังยาง
,วัดโนนเกษม
,วัดโนนยานาง
,วัดนาสามัคคี
,วัดนางิ้ว
,วัดคลองสำราญ
,วัดหนองกระบือ
,วัดบ้านบุ่งคำ
,วัดโนนสัง
,วัดรุ่งแสงจันทร์
,วัดป่าหนองไข่นก
,วัดคูเดื่อ
,วัดผาสุก
,วัดศิริสารคุณ
,วัดธัมมปติฏฐาราม
,วัดอุตตมผลาราม
,วัดราษฎร์บำเพ็ญ
,วัดสว่างวงเจียม
,วัดคำนางรวย
,วัดหนองอ้ม
,วัดคำเจริญสุข
,วัดหนองลุมพุก
,วัดศรีพลแพง
,วัดบ้านท่าบ่อ
,วัดหม้อทอง
,วัดแสงไผ่
,วัดเม็กน้อย
,วัดสุมังคลาราม
,วัดบ๋าพอก
,วัดยางเทิง
,วัดแขมเหนือ
,วัดนาจะหลวย(เทพศรีวิไล
,วัดกุญชรดิตถาราม
,วัดดอยมณี
,วัดนานวล
,วัดคูขาด
,วัดอุดมธัญญาวาส
,วัดเภาชมภู
,วัดป่าดงเมย
,วัดหนองยาง
,วัดดอนรังกา
,วัดโนนเจริญ
,วัดนาแมด
,วัดบุญธิศาราม
,วัดบ้านเปือย(ป่าศรีนวล
,วัดพนานิวาส
,วัดบัวทอง
,วัดบ่อหวาย
,วัดพาราณสี
,วัดเทพา
,วัดป่าหนองจิก
,วัดไชยชนะ
,วัดราษฎร์สามัคคี
,วัดยุทธิการาม
,วัดท่าไห
,วัดคำสมิง
,วัดสระปทุม
,วัดบ้านแต้
,วัดหนองตอแก้ว
,วัดเกษตรพัฒนา
,วัดคำอ้อ
,วัดโซง
,วัดป่าดงเสาธง
,วัดพระบรมธาตุ
,วัดแก้งโพธิ์
,วัดบัวเจริญ
,วัดโนนสุขสันติ์
,วัดคำเม็ก
,วัดน้ำอ้อม
,วัดยางกระเดา
,วัดหนองมุก
,วัดใหม่ศรีทอง
,วัดหนองกอก
,วัดบ้านดอนผึ้ง(ดอนผึ้ง
,วัดแก่งสว่าง
,วัดศรีนวล
,วัดศรีประดู่วนาราม
,วัดบ้านทุ่ง
,วัดโนนหนองไฮ
,วัดบุรีรัฐ
,วัดโคกสะอาด
,วัดจอมศรีมณีวรรณ
,วัดบ้านกะแอก
,วัดนาเลิง
,วัดวรรณวารี
,วัดหมากมี่
,วัดห่องไผ่
,วัดสุวรรณาวาส
,วัดป่าดอนบาก
,วัดเสลาวาส
,วัดบ้านยาง
,วัดโนนนิวาส
,วัดป่าโนนก่อ
,วัดโนนแฝกใหญ่
,วัดแจ้ง
,วัดพรสวรรค์
,วัดสว่างดงเย็น
,วัดป่าภูธรวนาราม 
,วัดโนนใหญ่
,วัดหัวสะพาน
,วัดน้ำยืน
,วัดห้วยไผ่
,วัดโนนหล่อง
,วัดมะลิวัลย์
,วัดบ้านบัว
,วัดสว่างอารมย์
,วัดศรีบุญนาค
,วัดป่าภาวนาสามัคคี
,วัดถ้ำป่อง
,วัดบุ่งแก้ววงศ์ประดิษฐ์
,วัดป่าเก่าพระเจ้าใหญ่ 
,วัดตาโม
,วัดโนนดู่
,วัดร่องข่า
,วัดวังพระ
,วัดหนองโพด
,วัดโนนสูง
,วัดเหนือ
,วัดทุ่งคำไผ่
,วัดหนองดูน
,วัดดอนใหญ่
,วัดบ้านโคกสะอาด 
,วัดโชครังสรรค์
,วัดสว่างอัมพา
,วัดภูมิภาค
,วัดอีสาณสามัคคี
,วัดดอนธาตุ
,วัดกุดน้ำเที่ยง
,วัดศิริวัฒนาราม
,วัดถ้ำค้อธรรมาราม
,วัดบ้านหาด
,วัดไตรมิตรสงเคราะห์
,วัดบ้านบก
,วัดชุมแสง
,วัดโพนไพร
,วัดสองคอน
,วัดสระ
,วัดหนองผำ
,วัดซำหวาย
,วัดศิริวรรณ
,วัดป่าจันทราวาส
,วัดป่าหัวดอน
,วัดป่าประชาศรัทธาธรรม
,วัดก้านเหลือง
,วัดโนนตูม
,วัดนรากุมภกาวาส
,วัดช่างหม้อ
,วัดสารภี
,วัดหนองกินเพล
,วัดนาส่วงเหนือ
,วัดแก้งสมบูรณ์
,วัดบ้านสว่าง
,วัดป่าแสนสำราญ
,วัดศนีมงคล
,วัดท่ากกแห่
,วัดอาทิตย์อุทัย
,วัดเชียงแก้ว
,วัดเปือย
,วัดทุ่งบอน
,วัดป่าสุภัททเจดีย์
,วัดโนนจิกน้อย
,วัดสุมานาราม
,วัดสว่างคงคา
,วัดดอนเจริญ
,วัดป่าดงปอ
,วัดอุดมพัฒนา
,วัดจงเจริญ
,วัดโนนรังใหญ่
,วัดหนองซองแมว
,วัดนาไผ่
,วัดป่าเหล่าสูง
,วัดคำผักแว่น
,วัดสว่างพิมพ์ธรรม
,วัดบุบผาราม
,วัดพลแพน
,วัดหนองแฝก
,วัดเวตวันวิทยาราม
,วัดนาพิมาน
,วัดป่าเลา
,วัดสะอาด
,วัดคำหว้า
,วัดประชาสามัคคี
,วัดสร้างเม็ก
,วัดป่าวิเวกศรีเมืองใหม่
,วัดแก่งเจริญทัศน์
,วัดหนองคู
,วัดสวนธรรม
,วัดป่าแสนอุดม
,วัดทุ่งศรีวิไล
,วัดโนนเค็ง
,วัดบ้านค้อ-แขม
,วัดบ้านท่าศาลา(อัมพวันนาราม
,วัดศรีตระการ
,วัดโนนงาม
,วัดหนองมูลเหล็ก
,วัดขัวไม้แก่น
,วัดก่อน้อย
,วัดศรีสมบูรณ์วราราม
,วัดศรีไค
,วัดนาเจริญ(ปทุมพัฒนาราม
,วัดอุดรภาราม
,วัดเรืองบุญ
,วัดหมากมาย
,วัดบ้านเตย
,วัดศรีมงคล
,วัดสวนสวรรค์
,วัดหนองหว้า
,วัดสะพือใต้
,วัดกุญชราราม
,วัดคำสะอาด
,วัดดู่น้อย
,วัดค้อน้อย
,วัดนาหว้า
,วัดแก้งขอ
,วัดบ้านโนน
,วัดนิคมสังฆสามัคคี
,วัดห้วยหมากน้อย
,วัดคำยาง
,วัดนาหนองทุ่ง
,วัดสุขาวาส
,วัดซำงู
,วัดฉิมพลี
,วัดดงยาง
,วัดบ้านบุตร
,วัดบัวเทียม
,วัดนิคมเกษม
,วัดป่าสุธรรมรังษี
,วัดนาเจริญนอก
,วัดนิคมกิตติยาราม
,วัดหัวขัว
,วัดศรีตัสสาราม
,วัดไทรงาม
,วัดไชยมงคล
,วัดรังแร้ง
,วัดรุกขาวาส
,วัดนาฬิกาวาส
,วัดถ้ำเหวสินธุ์ชัย
,วัดสุเนตตาราม
,วัดสมสนุก
,วัดดงบังเหนือ
,วัดวาลุการาม
,วัดนาดอกไม้
,วัดเหล่าแค
,วัดอรุณธราราม
,วัดขามน้อย
,วัดศรีพรหม
,วัดศรีสุนทร
,วัดป่าธรรมโกศล 
,วัดปลาขาว
,วัดป่าพุทโธวาท 
,วัดดงเมย
,วัดหนองแคนพัฒนา
,วัดจันทร์หอม
,วัดป่าดงเย็น
